iter	Logloss
0	0.6698077732
1	0.6443828235
2	0.62189939
3	0.6043828249
4	0.5864178337
5	0.5674008521
6	0.550241336
7	0.5385687542
8	0.52785193
9	0.5157057865
10	0.5069791423
11	0.496491907
12	0.4879284963
13	0.478885174
14	0.4714383118
15	0.4639698993
16	0.4575616576
17	0.4512688362
18	0.4467043965
19	0.4422500753
20	0.43752924
21	0.4338632489
22	0.4298079651
23	0.4265790869
24	0.4236885244
25	0.4199174322
26	0.4173333136
27	0.4139775677
28	0.4115346114
29	0.4086803693
30	0.4067002043
31	0.404409504
32	0.402115661
33	0.4000891104
34	0.3980738196
35	0.3961461012
36	0.3945711555
37	0.3941325489
38	0.3927796462
39	0.3917334833
40	0.3901370587
41	0.388673578
42	0.3874158066
43	0.38640917
44	0.3849328893
45	0.3833914936
46	0.3824903363
47	0.3813119622
48	0.3803835302
49	0.3786904377
50	0.3776630354
51	0.3768811056
52	0.3757246405
53	0.375232219
54	0.3742984756
55	0.3735266548
56	0.3724853659
57	0.3714318753
58	0.3707990001
59	0.3701976373
60	0.3689805201
61	0.367956994
62	0.3670375753
63	0.3660534798
64	0.36531396
65	0.3652447019
66	0.3645844983
67	0.3641946623
68	0.3637426451
69	0.3632030528
70	0.3626162384
71	0.3622052241
72	0.3617612895
73	0.3611214595
74	0.3605318723
75	0.3602089128
76	0.3600241374
77	0.3595306482
78	0.3590897639
79	0.35883567
80	0.3583082704
81	0.3581818184
82	0.3580446423
83	0.3576652286
84	0.357343884
85	0.3565192777
86	0.3558411388
87	0.3551271091
88	0.354348945
89	0.3539920191
90	0.3534607194
91	0.3528962097
92	0.3518610324
93	0.3516000926
94	0.3505999695
95	0.3500307795
96	0.3492377087
97	0.3487605981
98	0.3482683561
99	0.3477031012
