iter	Passed	Remaining
0	29	2954
1	31	1539
2	32	1046
3	32	789
4	33	641
5	34	545
6	35	475
7	36	416
8	37	376
9	38	343
10	38	314
11	39	291
12	40	272
13	41	257
14	42	243
15	43	230
16	44	217
17	45	208
18	46	200
19	47	191
20	48	183
21	49	175
22	50	169
23	51	162
24	52	156
25	53	151
26	53	145
27	55	142
28	56	139
29	58	135
30	59	132
31	61	129
32	62	126
33	63	123
34	64	119
35	65	115
36	66	112
37	66	108
38	67	105
39	68	102
40	69	99
41	70	96
42	70	93
43	71	91
44	73	89
45	74	87
46	75	85
47	76	83
48	77	81
49	78	78
50	79	76
51	85	78
52	86	76
53	87	74
54	89	73
55	90	71
56	91	69
57	92	67
58	94	65
59	95	63
60	96	61
61	97	59
62	98	57
63	99	55
64	100	54
65	100	52
66	101	50
67	102	48
68	103	46
69	104	44
70	105	43
71	107	41
72	108	39
73	108	38
74	109	36
75	110	34
76	111	33
77	112	31
78	113	30
79	114	28
80	114	26
81	115	25
82	116	23
83	117	22
84	118	20
85	119	19
86	120	17
87	121	16
88	122	15
89	123	13
90	124	12
91	125	10
92	127	9
93	128	8
94	129	6
95	130	5
96	131	4
97	132	2
98	133	1
99	134	0
